id,proyecto,provincia,tecnologia,ronda,potencia_mw,latitud,longitud,avance,estado,periodo_max,geojson
MAT-SFV-52,P.S. LA CUMBRE II,SAN LUIS,SOLAR,MATER,4,-33.32333333,-66.16887778,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.16887778,-33.32333333]}"
MAT-SFV-54,P.S. ULLUM SOLARGEN 2,SAN JUAN,SOLAR,MATER,6.5,-31.39107222,-68.68025833,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.68025833,-31.39107222]}"
MAT-SFV-62,P.S. CHEPES,LA RIOJA,SOLAR,MATER,2,-31.349828,-66.656827,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.656827,-31.349828]}"
MAT-SFV-70,P.S. AGRITUR,SAN LUIS,SOLAR,MATER-sPDD,0.45,-32.13617222,-65.69961389,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-65.69961389,-32.13617222]}"
MAT-SFV-87,P.S. LAS DIAGUITAS II,SAN JUAN,SOLAR,MATER,1,-31.37135556,-68.45668611,0.3,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-68.45668611,-31.37135556]}"
PAH-01,P.A.H. CANAL CACIQUE GUAYMALLÉN - SALTO 8,MENDOZA,PAH,RENOVAR RONDA 1,1.2,-33.01631667,-68.87777222,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.87777222,-33.01631667]}"
PAH-02,P.A.H. CANAL CACIQUE GUAYMALLÉN - SALTO 6,MENDOZA,PAH,RENOVAR RONDA 1,1.01,-33.032163,-68.8957277,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.8957277,-33.032163]}"
PAH-03,P.A.H. DIQUE TIBURCIO BENEGAS,MENDOZA,PAH,RENOVAR RONDA 1,1.65,-33.24325556,-68.68080833,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.68080833,-33.24325556]}"
PAH-04,P.A.H. TRIPLE SALTO UNIFICADO,MENDOZA,PAH,RENOVAR RONDA 1,0.51,-33.11026111,-68.51699167,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.51699167,-33.11026111]}"
PAH-05,P.A.H. RIO ESCONDIDO,RÍO NEGRO,PAH,RENOVAR RONDA 1,7,-41.69150556,-71.56200556,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-71.56200556,-41.69150556]}"
PAH-3701,P.A.H. CAMPO ALEGRE,SALTA,PAH,RENOVAR RONDA 3,0.91,-24.57613,-65.367256,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-65.367256,-24.57613]}"
PAH-3702,P.A.H. LA CALERA,CÓRDOBA,PAH,RENOVAR RONDA 3,3,-31.352833,-64.3331,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-64.3331,-31.352833]}"
PAH-3703,P.A.H. TUPUNGATO I,MENDOZA,PAH,RENOVAR RONDA 3,0.99,-33.389775,-69.318269,0.01,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-69.318269,-33.389775]}"
PAH-3704,P.A.H. TUPUNGATO II,MENDOZA,PAH,RENOVAR RONDA 3,0.99,-33.325096,-69.27569,0.01,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-69.27569,-33.325096]}"
PAH-3706,P.A.H. LA COPA,MENDOZA,PAH,RENOVAR RONDA 3,0.5,-33.045398,-68.979811,0.01,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-68.979811,-33.045398]}"
PAH-3707,P.A.H. SALTO 9,MENDOZA,PAH,RENOVAR RONDA 3,0.99,-33.013079,-68.872936,0.03,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-68.872936,-33.013079]}"
